Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona,,,,,,,,,,,,,,
22-Aug-04,0,0,0,83,102,0,96,4,96,0,,,,,,,,,,,,,,,,,,,,
29-Aug-04,0,0,0,53,70,1,60,2,60,0,,,,,,,,,,,,,,,,,,,,
5-Sep-04,0,0,0,82,94,2,85,2,85,0,,,,,,,,,,,,,,,,,,,,
12-Sep-04,0,0,0,80,100,1,80,2,79,0,,,,,,,,,,,,,,,,,,,,
19-Sep-04,0,0,0,94,95,0,96,5,94,1,,,,,,,,,,,,,,,,,,,,
26-Sep-04,0,0,0,118,177,6,150,5,127,1,,,,,,,,,,,,,,,,,,,,
3-Oct-04,0,0,0,113,156,1,117,8,114,2,,,,,,,,,,,,,,,,,,,,
10-Oct-04,0,0,0,130,206,4,149,7,152,4,,,,,,,,,,,,,,,,,,,,
17-Oct-04,0,0,0,169,243,9,178,8,173,1,,,,,,,,,,,,,,,,,,,,
24-Oct-04,0,0,0,154,199,4,153,12,151,1,,,,,,,,,,,,,,,,,,,,
31-Oct-04,1,0,1,160,213,7,167,15,147,4,,,,,,,,,,,,,,,,,,,,
7-Nov-04,0,0,0,154,213,14,150,14,152,0,,,,,,,,,,,,,,,,,,,,
14-Nov-04,0,0,0,238,320,17,242,5,221,5,,,,,,,,,,,,,,,,,,,,
21-Nov-04,3,0,3,262,332,12,248,21,228,4,,,,,,,,,,,,,,,,,,,,
28-Nov-04,8,1,9,248,311,41,233,24,214,4,,,,,,,,,,,,,,,,,,,,
5-Dec-04,37,1,38,397,435,62,321,36,304,2,,,,,,,,,,,,,,,,,,,,
12-Dec-04,65,1,66,566,407,72,278,18,240,2,,,,,,,,,,,,,,,,,,,,
19-Dec-04,185,1,186,809,466,98,295,22,367,4,,,,,,,,,,,,,,,,,,,,
26-Dec-04,378,9,387,1444,565,120,343,16,295,3,,,,,,,,,,,,,,,,,,,,
2-Jan-05,512,6,518,2063,756,137,502,18,462,5,,,,,,,,,,,,,,,,,,,,
9-Jan-05,519,1,520,1983,722,116,373,12,357,7,,,,,,,,,,,,,,,,,,,,
16-Jan-05,427,13,440,1751,556,112,311,14,280,12,,,,,,,,,,,,,,,,,,,,
23-Jan-05,429,7,436,1881,718,155,424,16,394,5,,,,,,,,,,,,,,,,,,,,
30-Jan-05,446,14,460,1706,629,149,325,15,302,6,,,,,,,,,,,,,,,,,,,,
6-Feb-05,317,19,336,1581,653,186,340,14,309,6,,,,,,,,,,,,,,,,,,,,
13-Feb-05,174,16,190,1248,681,190,331,15,302,5,,,,,,,,,,,,,,,,,,,,
20-Feb-05,109,20,129,1004,594,174,299,25,264,0,,,,,,,,,,,,,,,,,,,,
27-Feb-05,56,27,83,955,580,144,332,16,306,3,,,,,,,,,,,,,,,,,,,,
6-Mar-05,23,26,49,773,540,169,254,14,222,9,,,,,,,,,,,,,,,,,,,,
13-Mar-05,20,40,60,704,571,132,330,13,299,12,,,,,,,,,,,,,,,,,,,,
20-Mar-05,7,38,45,534,450,109,222,6,204,6,,,,,,,,,,,,,,,,,,,,
27-Mar-05,5,37,42,541,477,76,229,14,209,5,,,,,,,,,,,,,,,,,,,,
3-Apr-05,4,46,50,508,457,90,238,11,221,7,,,,,,,,,,,,,,,,,,,,
10-Apr-05,1,35,36,448,380,56,231,6,211,4,,,,,,,,,,,,,,,,,,,,
17-Apr-05,1,19,20,396,391,32,254,4,234,20,,,,,,,,,,,,,,,,,,,,
24-Apr-05,0,17,17,300,302,27,204,10,184,10,,,,,,,,,,,,,,,,,,,,
1-May-05,0,12,12,323,362,19,259,9,233,18,,,,,,,,,,,,,,,,,,,,
8-May-05,1,9,10,282,330,16,243,7,231,22,,,,,,,,,,,,,,,,,,,,
15-May-05,1,9,10,234,275,10,216,6,199,15,,,,,,,,,,,,,,,,,,,,
22-May-05,1,1,2,220,268,3,190,13,193,23,,,,,,,,,,,,,,,,,,,,
29-May-05,0,0,0,197,230,5,170,6,172,16,,,,,,,,,,,,,,,,,,,,
5-Jun-05,1,1,2,142,205,8,160,7,154,5,,,,,,,,,,,,,,,,,,,,
12-Jun-05,0,0,0,185,254,11,210,7,209,21,,,,,,,,,,,,,,,,,,,,
19-Jun-05,0,0,0,194,238,2,208,9,208,12,,,,,,,,,,,,,,,,,,,,
26-Jun-05,0,0,0,177,232,2,212,3,206,5,,,,,,,,,,,,,,,,,,,,
3-Jul-05,0,0,0,150,168,2,152,3,150,4,,,,,,,,,,,,,,,,,,,,
10-Jul-05,0,0,0,112,154,4,131,5,131,5,,,,,,,,,,,,,,,,,,,,
17-Jul-05,0,0,0,125,170,3,160,3,158,2,,,,,,,,,,,,,,,,,,,,
24-Jul-05,0,0,0,137,168,1,158,5,155,9,,,,,,,,,,,,,,,,,,,,
31-Jul-05,0,0,0,169,199,0,193,9,193,7,,,,,,,,,,,,,,,,,,,,
7-Aug-05,0,0,0,107,144,1,137,5,137,6,,,,,,,,,,,,,,,,,,,,
14-Aug-05,0,0,0,127,166,1,160,4,151,1,,,,,,,,,,,,,,,,,,,,
21-Aug-05,0,0,0,125,151,3,155,4,140,2,,,,,,,,,,,,,,,,,,,,
28-Aug-05,0,0,0,122,157,0,162,3,148,5,,,,,,,,,,,,,,,,,,,,
4-Sep-05,0,0,0,116,167,1,157,1,150,3,,,,,,,,,,,,,,,,,,,,
11-Sep-05,0,0,0,121,165,3,161,1,146,4,,,,,,,,,,,,,,,,,,,,
18-Sep-05,0,1,1,120,161,3,158,2,149,3,,,,,,,,,,,,,,,,,,,,
25-Sep-05,0,0,0,146,209,1,176,5,171,4,,,,,,,,,,,,,,,,,,,,
2-Oct-05,0,0,0,169,246,9,207,4,195,11,,,,,,,,,,,,,,,,,,,,
9-Oct-05,0,0,0,174,259,9,204,4,196,7,,,,,,,,,,,,,,,,,,,,
16-Oct-05,0,0,0,197,274,15,204,7,194,5,,,,,,,,,,,,,,,,,,,,
23-Oct-05,0,0,0,200,272,19,205,8,185,9,,,,,,,,,,,,,,,,,,,,
30-Oct-05,1,0,1,227,325,12,272,11,227,6,,,,,,,,,,,,,,,,,,,,
6-Nov-05,1,0,1,214,279,23,219,9,208,12,,,,,,,,,,,,,,,,,,,,
13-Nov-05,0,0,0,256,305,22,242,7,218,9,,,,,,,,,,,,,,,,,,,,
20-Nov-05,1,0,1,275,348,47,258,12,219,9,,,,,,,,,,,,,,,,,,,,
27-Nov-05,0,0,0,284,397,56,299,9,247,6,,,,,,,,,,,,,,,,,,,,
4-Dec-05,1,0,1,307,383,68,284,12,244,10,,,,,,,,,,,,,,,,,,,,
11-Dec-05,0,0,0,307,367,74,270,14,231,10,,,,,,,,,,,,,,,,,,,,
18-Dec-05,4,0,4,392,456,94,356,20,310,11,,,,,,,,,,,,,,,,,,,,
25-Dec-05,4,1,5,460,454,113,302,16,270,8,,,,,,,,,,,,,,,,,,,,
1-Jan-06,3,0,3,622,535,144,339,10,312,6,,,,,,,,,,,,,,,,,,,,
8-Jan-06,3,2,5,628,535,116,357,12,324,12,,,,,,,,,,,,,,,,,,,,
15-Jan-06,5,1,6,560,511,83,320,6,288,10,,,,,,,,,,,,,,,,,,,,
22-Jan-06,7,0,7,617,548,104,352,4,301,10,,,,,,,,,,,,,,,,,,,,
29-Jan-06,9,0,9,638,570,110,350,9,306,4,,,,,,,,,,,,,,,,,,,,
5-Feb-06,12,0,12,542,478,78,306,8,274,3,,,,,,,,,,,,,,,,,,,,
12-Feb-06,14,1,15,541,482,89,290,8,262,6,,,,,,,,,,,,,,,,,,,,
19-Feb-06,24,0,24,542,476,83,310,5,271,5,,,,,,,,,,,,,,,,,,,,
26-Feb-06,41,1,42,558,488,89,323,11,279,4,,,,,,,,,,,,,,,,,,,,
5-Mar-06,67,2,69,726,494,90,301,5,279,2,,,,,,,,,,,,,,,,,,,,
12-Mar-06,104,6,110,745,520,86,346,13,309,2,,,,,,,,,,,,,,,,,,,,
19-Mar-06,188,10,198,942,584,97,358,4,328,7,,,,,,,,,,,,,,,,,,,,
26-Mar-06,251,16,267,1052,464,47,318,3,296,5,,,,,,,,,,,,,,,,,,,,
2-Apr-06,228,37,265,1128,499,67,288,4,265,4,,,,,,,,,,,,,,,,,,,,
9-Apr-06,209,51,260,1143,610,81,361,8,322,4,,,,,,,,,,,,,,,,,,,,
16-Apr-06,116,20,136,752,395,49,272,9,247,6,,,,,,,,,,,,,,,,,,,,
23-Apr-06,77,29,106,680,392,51,259,5,226,2,,,,,,,,,,,,,,,,,,,,
30-Apr-06,35,30,65,569,416,50,272,6,237,7,,,,,,,,,,,,,,,,,,,,
7-May-06,21,21,42,511,348,24,249,7,203,4,,,,,,,,,,,,,,,,,,,,
14-May-06,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
21-May-06,5,4,9,320,262,21,196,3,181,10,,,,,,,,,,,,,,,,,,,,
28-May-06,0,2,2,284,240,13,193,4,182,9,,,,,,,,,,,,,,,,,,,,
4-Jun-06,3,3,6,228,260,19,222,4,186,15,,,,,,,,,,,,,,,,,,,,
11-Jun-06,1,0,1,174,183,8,156,2,134,8,,,,,,,,,,,,,,,,,,,,
18-Jun-06,1,0,1,144,193,11,165,2,145,19,,,,,,,,,,,,,,,,,,,,
25-Jun-06,0,1,1,129,187,7,156,2,144,12,,,,,,,,,,,,,,,,,,,,
2-Jul-06,0,0,0,116,169,6,154,3,143,8,,,,,,,,,,,,,,,,,,,,
9-Jul-06,1,0,1,103,132,3,125,1,116,7,,,,,,,,,,,,,,,,,,,,
16-Jul-06,0,0,0,116,155,2,151,3,138,9,,,,,,,,,,,,,,,,,,,,
23-Jul-06,0,0,0,114,148,2,156,2,132,10,,,,,,,,,,,,,,,,,,,,
30-Jul-06,0,0,0,77,147,4,140,2,133,5,,,,,,,,,,,,,,,,,,,,
6-Aug-06,0,0,0,119,149,5,147,4,135,3,,,,,,,,,,,,,,,,,,,,
13-Aug-06,0,0,0,129,177,2,174,1,166,6,,,,,,,,,,,,,,,,,,,,
20-Aug-06,0,0,0,104,150,5,146,1,135,6,,,,,,,,,,,,,,,,,,,,
27-Aug-06,0,0,0,115,147,2,148,6,128,2,,,,,,,,,,,,,,,,,,,,
3-Sep-06,0,0,0,111,156,6,152,3,138,3,,,,,,,,,,,,,,,,,,,,
10-Sep-06,0,0,0,165,235,9,209,0,205,0,,,,,,,,,,,,,,,,,,,,
17-Sep-06,0,0,0,159,228,6,222,6,190,1,,,,,,,,,,,,,,,,,,,,
24-Sep-06,0,0,0,191,248,8,229,4,194,4,,,,,,,,,,,,,,,,,,,,
1-Oct-06,0,0,0,157,247,14,201,3,170,2,,,,,,,,,,,,,,,,,,,,
8-Oct-06,0,0,0,242,377,26,268,4,244,7,,,,,,,,,,,,,,,,,,,,
15-Oct-06,0,0,0,238,374,27,265,8,234,4,,,,,,,,,,,,,,,,,,,,
22-Oct-06,0,0,0,197,328,38,237,6,208,2,,,,,,,,,,,,,,,,,,,,
29-Oct-06,0,0,0,246,384,73,285,6,241,6,,,,,,,,,,,,,,,,,,,,
5-Nov-06,0,0,0,330,519,129,342,7,295,8,,,,,,,,,,,,,,,,,,,,
12-Nov-06,1,0,1,368,600,154,370,9,336,14,,,,,,,,,,,,,,,,,,,,
19-Nov-06,0,0,0,435,688,220,421,18,381,5,,,,,,,,,,,,,,,,,,,,
26-Nov-06,2,0,2,422,745,241,432,11,376,5,,,,,,,,,,,,,,,,,,,,
3-Dec-06,3,0,3,443,817,315,433,9,374,7,,,,,,,,,,,,,,,,,,,,
10-Dec-06,2,0,2,528,800,339,399,11,340,9,,,,,,,,,,,,,,,,,,,,
17-Dec-06,2,2,4,577,815,297,437,8,382,7,,,,,,,,,,,,,,,,,,,,
24-Dec-06,10,1,11,608,693,313,344,10,304,7,,,,,,,,,,,,,,,,,,,,
31-Dec-06,6,0,6,671,776,302,416,10,336,5,,,,,,,,,,,,,,,,,,,,
7-Jan-07,6,4,10,622,678,227,293,9,258,5,,,,,,,,,,,,,,,,,,,,
14-Jan-07,9,2,11,531,661,120,374,14,331,8,,,,,,,,,,,,,,,,,,,,
21-Jan-07,23,5,28,627,543,110,321,6,270,1,,,,,,,,,,,,,,,,,,,,
28-Jan-07,39,4,43,679,519,108,325,9,269,6,,,,,,,,,,,,,,,,,,,,
4-Feb-07,52,13,65,675,479,85,281,13,252,3,,,,,,,,,,,,,,,,,,,,
11-Feb-07,104,15,119,848,507,69,334,9,289,6,,,,,,,,,,,,,,,,,,,,
18-Feb-07,196,30,226,1050,577,53,384,8,336,4,,,,,,,,,,,,,,,,,,,,
25-Feb-07,275,40,315,1463,644,41,464,10,406,7,,,,,,,,,,,,,,,,,,,,
4-Mar-07,317,63,380,1629,624,48,442,12,384,7,,,,,,,,,,,,,,,,,,,,
11-Mar-07,202,55,257,1477,594,46,444,3,381,2,,,,,,,,,,,,,,,,,,,,
18-Mar-07,149,78,227,1271,510,33,413,11,352,4,,,,,,,,,,,,,,,,,,,,
25-Mar-07,101,87,188,1122,483,28,341,10,285,12,,,,,,,,,,,,,,,,,,,,
1-Apr-07,64,91,155,1128,507,34,403,10,352,11,,,,,,,,,,,,,,,,,,,,
8-Apr-07,23,97,120,973,430,36,322,14,276,11,,,,,,,,,,,,,,,,,,,,
15-Apr-07,30,73,103,893,479,34,342,11,299,10,,,,,,,,,,,,,,,,,,,,
22-Apr-07,17,61,78,838,423,25,328,7,267,8,,,,,,,,,,,,,,,,,,,,
29-Apr-07,12,36,48,668,413,20,301,5,280,17,,,,,,,,,,,,,,,,,,,,
6-May-07,0,37,37,573,378,13,301,9,266,4,,,,,,,,,,,,,,,,,,,,
13-May-07,1,17,18,397,274,7,255,7,222,5,,,,,,,,,,,,,,,,,,,,
20-May-07,3,11,14,360,304,6,241,9,214,19,,,,,,,,,,,,,,,,,,,,
27-May-07,1,1,2,271,251,6,213,11,184,13,,,,,,,,,,,,,,,,,,,,
3-Jun-07,0,3,3,259,273,9,228,2,213,12,,,,,,,,,,,,,,,,,,,,
10-Jun-07,0,1,1,192,218,7,189,2,165,10,,,,,,,,,,,,,,,,,,,,
17-Jun-07,0,1,1,196,220,3,197,3,178,3,,,,,,,,,,,,,,,,,,,,
24-Jun-07,0,0,0,142,199,1,198,4,165,8,,,,,,,,,,,,,,,,,,,,
1-Jul-07,0,0,0,107,137,1,138,4,116,6,,,,,,,,,,,,,,,,,,,,
8-Jul-07,0,0,0,102,147,1,184,5,133,2,,,,,,,,,,,,,,,,,,,,
15-Jul-07,0,0,0,109,147,2,166,1,140,7,,,,,,,,,,,,,,,,,,,,
22-Jul-07,0,0,0,118,165,1,168,2,148,6,,,,,,,,,,,,,,,,,,,,
29-Jul-07,0,0,0,109,148,1,155,0,127,6,,,,,,,,,,,,,,,,,,,,
5-Aug-07,0,0,0,122,159,3,163,1,146,5,,,,,,,,,,,,,,,,,,,,
12-Aug-07,0,0,0,118,160,0,171,6,151,5,,,,,,,,,,,,,,,,,,,,
19-Aug-07,1,0,1,108,150,2,161,2,140,2,,,,,,,,,,,,,,,,,,,,
26-Aug-07,0,0,0,135,176,2,179,2,163,7,,,,,,,,,,,,,,,,,,,,
2-Sep-07,0,0,0,108,159,0,162,0,147,10,,,,,,,,,,,,,,,,,,,,
9-Sep-07,0,0,0,137,199,2,202,1,168,3,,,,,,,,,,,,,,,,,,,,
16-Sep-07,0,0,0,139,194,3,191,5,172,5,,,,,,,,,,,,,,,,,,,,
23-Sep-07,0,0,0,199,285,1,281,5,253,7,,,,,,,,,,,,,,,,,,,,
30-Sep-07,0,0,0,173,258,11,238,3,208,10,,,,,,,,,,,,,,,,,,,,
7-Oct-07,0,0,0,222,305,6,262,12,218,18,,,,,,,,,,,,,,,,,,,,
14-Oct-07,1,0,1,166,277,10,200,5,177,10,,,,,,,,,,,,,,,,,,,,
21-Oct-07,0,0,0,242,338,10,263,8,231,10,,,,,,,,,,,,,,,,,,,,
28-Oct-07,1,0,1,198,290,27,228,9,193,17,,,,,,,,,,,,,,,,,,,,
4-Nov-07,2,1,3,208,310,25,236,10,208,14,,,,,,,,,,,,,,,,,,,,
11-Nov-07,0,0,0,277,346,49,265,15,236,11,,,,,,,,,,,,,,,,,,,,
18-Nov-07,1,1,2,327,427,55,304,16,277,6,,,,,,,,,,,,,,,,,,,,
25-Nov-07,1,1,2,343,467,85,373,14,330,15,,,,,,,,,,,,,,,,,,,,
2-Dec-07,2,0,2,379,474,83,329,14,312,9,,,,,,,,,,,,,,,,,,,,
9-Dec-07,1,1,2,505,538,113,370,15,342,12,,,,,,,,,,,,,,,,,,,,
16-Dec-07,8,0,8,541,532,139,313,14,293,8,,,,,,,,,,,,,,,,,,,,
23-Dec-07,15,1,16,614,717,238,417,14,396,14,,,,,,,,,,,,,,,,,,,,
30-Dec-07,19,3,22,800,773,266,438,19,416,8,,,,,,,,,,,,,,,,,,,,
6-Jan-08,26,2,28,815,719,204,434,15,398,15,,,,,,,,,,,,,,,,,,,,
13-Jan-08,36,7,43,929,732,222,410,13,385,11,,,,,,,,,,,,,,,,,,,,
20-Jan-08,48,7,55,858,723,180,387,5,364,1,,,,,,,,,,,,,,,,,,,,
27-Jan-08,68,12,80,1060,782,203,395,14,374,5,,,,,,,,,,,,,,,,,,,,
3-Feb-08,103,17,120,1291,945,271,458,7,417,4,,,,,,,,,,,,,,,,,,,,
10-Feb-08,178,20,198,1338,936,203,452,13,415,2,,,,,,,,,,,,,,,,,,,,
17-Feb-08,215,48,263,1449,971,229,431,8,428,1,,,,,,,,,,,,,,,,,,,,
24-Feb-08,260,57,317,1680,988,204,496,9,485,6,,,,,,,,,,,,,,,,,,,,
2-Mar-08,253,73,326,1698,959,165,477,8,459,3,,,,,,,,,,,,,,,,,,,,
9-Mar-08,216,94,310,1672,989,132,511,10,487,3,,,,,,,,,,,,,,,,,,,,
16-Mar-08,163,97,260,1534,793,90,452,7,434,6,,,,,,,,,,,,,,,,,,,,
23-Mar-08,153,102,255,1576,773,77,466,23,467,10,,,,,,,,,,,,,,,,,,,,
30-Mar-08,137,113,250,1564,907,68,484,7,473,6,,,,,,,,,,,,,,,,,,,,
6-Apr-08,101,121,222,1519,826,57,482,16,465,10,,,,,,,,,,,,,,,,,,,,
13-Apr-08,79,135,214,1424,737,51,443,6,418,5,,,,,,,,,,,,,,,,,,,,
20-Apr-08,58,105,163,1240,669,29,413,4,397,7,,,,,,,,,,,,,,,,,,,,
27-Apr-08,41,61,102,1071,623,27,392,8,371,9,,,,,,,,,,,,,,,,,,,,
4-May-08,19,38,57,682,489,19,321,7,303,8,,,,,,,,,,,,,,,,,,,,
11-May-08,17,12,29,621,486,22,346,10,317,5,,,,,,,,,,,,,,,,,,,,
18-May-08,5,9,14,474,355,25,235,7,221,15,,,,,,,,,,,,,,,,,,,,
25-May-08,2,8,10,428,376,8,308,7,282,14,,,,,,,,,,,,,,,,,,,,
1-Jun-08,5,4,9,414,388,12,316,6,303,17,,,,,,,,,,,,,,,,,,,,
8-Jun-08,2,1,3,267,268,13,224,6,204,22,,,,,,,,,,,,,,,,,,,,
15-Jun-08,1,0,1,263,269,7,236,9,216,24,,,,,,,,,,,,,,,,,,,,
22-Jun-08,0,0,0,190,195,1,192,9,166,20,,,,,,,,,,,,,,,,,,,,
29-Jun-08,0,0,0,168,200,1,196,8,175,10,,,,,,,,,,,,,,,,,,,,
6-Jul-08,1,0,1,147,193,0,198,9,178,18,,,,,,,,,,,,,,,,,,,,
13-Jul-08,1,0,1,200,243,2,261,4,229,16,,,,,,,,,,,,,,,,,,,,
20-Jul-08,0,0,0,154,195,2,207,6,174,11,,,,,,,,,,,,,,,,,,,,
27-Jul-08,0,0,0,150,201,1,206,4,189,10,,,,,,,,,,,,,,,,,,,,
3-Aug-08,0,0,0,116,163,0,170,1,153,7,,,,,,,,,,,,,,,,,,,,
10-Aug-08,0,0,0,127,163,3,171,5,151,9,,,,,,,,,,,,,,,,,,,,
17-Aug-08,0,0,0,153,212,2,220,3,198,7,,,,,,,,,,,,,,,,,,,,
24-Aug-08,0,0,0,136,196,0,216,0,184,6,,,,,,,,,,,,,,,,,,,,
31-Aug-08,0,0,0,135,190,5,209,5,175,1,,,,,,,,,,,,,,,,,,,,
7-Sep-08,0,0,0,134,187,4,199,7,166,1,,,,,,,,,,,,,,,,,,,,
14-Sep-08,0,0,0,192,256,0,283,11,223,0,,,,,,,,,,,,,,,,,,,,
21-Sep-08,1,0,1,196,296,6,277,11,215,4,,,,,,,,,,,,,,,,,,,,
28-Sep-08,1,0,1,238,364,10,299,3,255,3,,,,,,,,,,,,,,,,,,,,
5-Oct-08,0,0,0,292,404,3,342,8,297,4,,,,,,,,,,,,,,,,,,,,
12-Oct-08,0,0,0,246,327,5,286,21,242,9,,,,,,,,,,,,,,,,,,,,
19-Oct-08,3,0,3,335,390,22,320,19,276,8,,,,,,,,,,,,,,,,,,,,
26-Oct-08,2,1,3,329,381,19,325,14,279,3,,,,,,,,,,,,,,,,,,,,
2-Nov-08,4,0,4,419,456,27,413,20,334,4,,,,,,,,,,,,,,,,,,,,
9-Nov-08,3,1,4,356,442,24,346,38,275,4,,,,,,,,,,,,,,,,,,,,
16-Nov-08,13,0,13,473,519,66,406,38,323,4,,,,,,,,,,,,,,,,,,,,
23-Nov-08,4,0,4,468,560,80,418,37,345,4,,,,,,,,,,,,,,,,,,,,
30-Nov-08,0,0,0,538,594,86,477,41,364,5,,,,,,,,,,,,,,,,,,,,
7-Dec-08,3,0,3,590,590,131,445,25,375,3,,,,,,,,,,,,,,,,,,,,
14-Dec-08,3,0,3,642,630,136,453,37,392,7,,,,,,,,,,,,,,,,,,,,
21-Dec-08,6,1,7,599,559,136,357,25,318,3,,,,,,,,,,,,,,,,,,,,
28-Dec-08,9,1,10,763,785,177,517,37,443,4,,,,,,,,,,,,,,,,,,,,
4-Jan-09,13,1,14,874,811,188,449,16,395,12,,,,,,,,,,,,,,,,,,,,
11-Jan-09,26,2,28,963,865,228,468,27,410,2,,,,,,,,,,,,,,,,,,,,
18-Jan-09,60,6,66,1083,949,282,436,19,362,9,,,,,,,,,,,,,,,,,,,,
25-Jan-09,80,17,97,1197,1044,301,526,23,439,5,,,,,,,,,,,,,,,,,,,,
1-Feb-09,136,68,204,1505,1136,345,502,21,436,4,,,,,,,,,,,,,,,,,,,,
8-Feb-09,187,138,325,1958,1305,365,590,23,510,10,,,,,,,,,,,,,,,,,,,,
15-Feb-09,284,202,486,2355,1448,303,592,25,538,7,,,,,,,,,,,,,,,,,,,,
22-Feb-09,312,245,557,2377,1394,253,588,20,541,18,,,,,,,,,,,,,,,,,,,,
1-Mar-09,295,199,494,2502,1248,198,620,18,549,29,,,,,,,,,,,,,,,,,,,,
8-Mar-09,259,135,394,2180,1147,164,526,19,475,17,,,,,,,,,,,,,,,,,,,,
