Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona,,,,,,,,,,,,,,,
26-Dec-04,502,10,512,2660,1732,187,1354,47,1391,14,,,,,,,,,,,,,,,,,,,,,
2-Jan-05,730,8,738,4015,2632,271,2120,46,2170,19,,,,,,,,,,,,,,,,,,,,,
9-Jan-05,822,7,829,4297,2926,254,2262,49,2248,33,,,,,,,,,,,,,,,,,,,,,
16-Jan-05,801,23,824,3977,2672,235,2109,56,2094,24,,,,,,,,,,,,,,,,,,,,,
23-Jan-05,948,17,965,4494,3076,381,2468,51,2597,30,,,,,,,,,,,,,,,,,,,,,
30-Jan-05,976,39,1015,4146,2836,361,2251,47,2227,18,,,,,,,,,,,,,,,,,,,,,
6-Feb-05,850,61,911,4838,3670,477,3012,57,3113,24,,,,,,,,,,,,,,,,,,,,,
13-Feb-05,722,70,792,4788,4045,604,3217,57,3211,21,,,,,,,,,,,,,,,,,,,,,
20-Feb-05,627,94,721,4381,3905,568,3149,55,3266,17,,,,,,,,,,,,,,,,,,,,,
27-Feb-05,647,163,810,4825,4303,721,3631,56,3718,28,,,,,,,,,,,,,,,,,,,,,
6-Mar-05,385,151,536,3865,3695,601,2981,52,3077,39,,,,,,,,,,,,,,,,,,,,,
13-Mar-05,327,197,524,3433,3314,539,2661,52,2780,46,,,,,,,,,,,,,,,,,,,,,
20-Mar-05,144,200,344,2498,2516,363,1892,34,2008,47,,,,,,,,,,,,,,,,,,,,,
27-Mar-05,92,239,331,2723,2764,369,2120,51,2235,52,,,,,,,,,,,,,,,,,,,,,
3-Apr-05,89,188,277,2374,2408,317,1854,37,1950,60,,,,,,,,,,,,,,,,,,,,,
10-Apr-05,39,122,161,1951,1995,226,1522,35,1604,83,,,,,,,,,,,,,,,,,,,,,
17-Apr-05,32,104,136,1891,1977,157,1578,47,1657,116,,,,,,,,,,,,,,,,,,,,,
24-Apr-05,9,55,64,1443,1511,91,1213,41,1280,97,,,,,,,,,,,,,,,,,,,,,
1-May-05,10,42,52,1321,1400,61,1123,58,1177,90,,,,,,,,,,,,,,,,,,,,,
8-May-05,2,34,36,1500,1589,48,1280,41,1381,150,,,,,,,,,,,,,,,,,,,,,
15-May-05,3,25,28,1176,1241,28,1029,40,1093,107,,,,,,,,,,,,,,,,,,,,,
22-May-05,5,8,13,1190,1285,27,1043,44,1125,117,,,,,,,,,,,,,,,,,,,,,
29-May-05,2,2,4,835,892,18,733,28,795,97,,,,,,,,,,,,,,,,,,,,,
5-Jun-05,4,4,8,842,946,17,798,38,841,75,,,,,,,,,,,,,,,,,,,,,
12-Jun-05,1,2,3,666,841,15,717,46,758,96,,,,,,,,,,,,,,,,,,,,,
19-Jun-05,1,0,1,671,811,2,686,27,732,55,,,,,,,,,,,,,,,,,,,,,
26-Jun-05,4,0,4,517,671,3,603,31,627,23,,,,,,,,,,,,,,,,,,,,,
3-Jul-05,2,0,2,549,602,2,580,25,628,48,,,,,,,,,,,,,,,,,,,,,
10-Jul-05,1,0,1,525,588,4,564,22,606,40,,,,,,,,,,,,,,,Rank,,,,,,
17-Jul-05,2,1,3,533,587,3,605,12,639,16,,,,,,,,,,,,,,,1,FluPos,,,,,
24-Jul-05,1,0,1,539,582,1,556,15,609,25,,,,,,,,,,,,,,,2,RSVpos,,,,,
31-Jul-05,0,0,0,536,585,1,566,19,596,28,,,,,,,,,,,,,,,3,Rhino,,,,,
7-Aug-05,0,0,0,517,561,1,565,19,609,18,,,,,,,,,,,,,,,4,para,,,,,
14-Aug-05,0,0,0,446,494,2,474,14,501,11,,,,,,,,,,,,,,,5,hMPV,,,,,
21-Aug-05,4,0,4,540,557,4,562,14,577,18,,,,,,,,,,,,,,,6,adeno,,,,,
28-Aug-05,0,0,0,465,513,2,516,11,524,13,,,,,,,,,,,,,,,7,Corona,,,,,
4-Sep-05,0,0,0,514,579,2,551,15,583,16,,,,,,,,,,,,,,,,,,,,,
11-Sep-05,0,0,0,578,644,4,611,9,639,16,,,,,,,,,,,,,,,,,,,,,
18-Sep-05,2,2,4,645,706,3,680,14,715,13,,,,,,,,,,,,,,,,,,,,,
25-Sep-05,0,0,0,718,813,1,751,19,776,18,,,,,,,,,,,,,,,,,,,,,
2-Oct-05,8,0,8,883,944,9,841,20,873,22,,,,,,,,,,,,,,,,,,,,,
9-Oct-05,4,0,4,972,1125,13,969,18,1002,18,,,,,,,,,,,,,,,,,,,,,
16-Oct-05,0,0,0,1057,1186,29,1021,16,1046,39,,,,,,,,,,,,,,,,,,,,,
23-Oct-05,1,0,1,1015,1183,22,1004,21,1023,35,,,,,,,,,,,,,,,,,,,,,
30-Oct-05,5,0,5,1056,1254,19,1078,29,1092,56,,,,,,,,,,,,,,,,,,,,,
6-Nov-05,1,1,2,990,1153,33,979,26,1049,54,,,,,,,,,,,,,,,,,,,,,
13-Nov-05,3,4,7,1386,1443,33,1223,37,1323,64,,,,,,,,,,,,,,,,,,,,,
20-Nov-05,4,5,9,1424,1483,60,1264,42,1329,49,,,,,,,,,,,,,,,,,,,,,
27-Nov-05,8,12,20,1472,1569,75,1280,32,1386,72,,,,,,,,,,,,,,,,,,,,,
4-Dec-05,8,23,31,1651,1697,104,1388,39,1531,70,,,,,,,,,,,,,,,,,,,,,
11-Dec-05,25,37,62,1727,1750,109,1435,54,1579,79,,,,,,,,,,,,,,,,,,,,,
18-Dec-05,7,38,45,1326,1393,148,1093,58,1195,76,,,,,,,,,,,,,,,,,,,,,
25-Dec-05,43,30,73,1612,1587,182,1195,45,1353,100,,,,,,,,,,,,,,,,,,,,,
1-Jan-06,37,29,66,2248,2126,246,1617,43,1848,86,,,,,,,,,,,,,,,,,,,,,
8-Jan-06,34,39,73,2552,2422,204,1895,40,2126,99,,,,,,,,,,,,,,,,,,,,,
15-Jan-06,42,45,87,2316,2257,190,1744,37,1977,107,,,,,,,,,,,,,,,,,,,,,
22-Jan-06,97,110,207,2579,2427,223,1845,29,2068,86,,,,,,,,,,,,,,,,,,,,,
29-Jan-06,128,97,225,2816,2697,249,2033,32,2352,90,,,,,,,,,,,,,,,,,,,,,
5-Feb-06,161,126,287,2810,2734,237,2052,46,2421,86,,,,,,,,,,,,,,,,,,,,,
12-Feb-06,193,143,336,2928,2844,263,2170,41,2520,98,,,,,,,,,,,,,,,,,,,,,
19-Feb-06,213,170,383,3193,3017,247,2090,29,2732,69,,,,,,,,,,,,,,,Rank,,,,,,
26-Feb-06,219,231,450,3085,2877,264,2249,50,2576,60,,,,,,,,,,,,,,,1,FluPos,,,,,
5-Mar-06,277,244,521,3087,2710,191,2069,40,2435,66,,,,,,,,,,,,,,,2,RSVpos,,,,,
12-Mar-06,324,325,649,3181,2908,262,2311,64,2613,79,,,,,,,,,,,,,,,3,Rhino,,,,,
19-Mar-06,376,255,631,3156,2682,287,2107,35,2367,58,,,,,,,,,,,,,,,4,para,,,,,
26-Mar-06,421,193,614,3030,2282,184,1804,26,2047,32,,,,,,,,,,,,,,,5,hMPV,,,,,
2-Apr-06,415,185,600,3188,2307,205,1769,44,1969,54,,,,,,,,,,,,,,,6,adeno,,,,,
9-Apr-06,358,133,491,2906,2265,212,1770,37,1942,60,,,,,,,,,,,,,,,7,Corona,,,,,
16-Apr-06,267,86,353,2472,1989,173,1575,57,1762,67,,,,,,,,,,,,,,,,,,,,,
23-Apr-06,210,61,271,1951,1641,138,1225,36,1438,39,,,,,,,,,,,,,,,,,,,,,
30-Apr-06,117,57,174,1858,1585,137,1207,39,1344,65,,,,,,,,,,,,,,,,,,,,,
7-May-06,74,28,102,1663,1522,100,1087,37,1208,40,,,,,,,,,,,,,,,,,,,,,
14-May-06,71,6,77,1101,1017,57,827,28,957,24,,,,,,,,,,,,,,,,,,,,,
21-May-06,32,8,40,1271,1127,85,901,31,1011,48,,,,,,,,,,,,,,,,,,,,,
28-May-06,13,6,19,1113,1057,56,857,29,962,48,,,,,,,,,,,,,,,,,,,,,
4-Jun-06,8,3,11,953,994,66,817,33,882,56,,,,,,,,,,,,,,,,,,,,,
11-Jun-06,4,1,5,843,867,39,716,32,777,46,,,,,,,,,,,,,,,,,,,,,
18-Jun-06,3,0,3,804,791,40,671,19,728,57,,,,,,,,,,,,,,,,,,,,,
25-Jun-06,2,2,4,903,879,45,751,27,818,65,,,,,,,,,,,,,,,,,,,,,
2-Jul-06,0,2,2,627,644,28,608,17,655,61,,,,,,,,,,,,,,,,,,,,,
9-Jul-06,3,1,4,701,671,25,617,17,692,48,,,,,,,,,,,,,,,,,,,,,
16-Jul-06,0,0,0,654,610,20,581,18,630,58,,,,,,,,,,,,,,,,,,,,,
23-Jul-06,0,0,0,618,625,27,538,18,594,50,,,,,,,,,,,,,,,,,,,,,
30-Jul-06,0,0,0,507,545,23,486,13,531,41,,,,,,,,,,,,,,,,,,,,,
6-Aug-06,0,0,0,597,582,20,522,13,565,29,,,,,,,,,,,,,,,,,,,,,
13-Aug-06,1,0,1,624,570,12,502,9,555,43,,,,,,,,,,,,,,,,,,,,,
20-Aug-06,0,0,0,695,620,16,539,8,589,19,,,,,,,,,,,,,,,,,,,,,
27-Aug-06,0,0,0,730,624,11,568,10,591,18,,,,,,,,,,,,,,,,,,,,,
3-Sep-06,0,0,0,650,618,16,547,8,591,18,,,,,,,,,,,,,,,,,,,,,
10-Sep-06,4,0,4,777,763,10,636,5,714,16,,,,,,,,,,,,,,,,,,,,,
17-Sep-06,1,0,1,1016,932,16,820,21,872,22,,,,,,,,,,,,,,,,,,,,,
24-Sep-06,2,0,2,1180,1041,15,904,5,963,28,,,,,,,,,,,,,,,,,,,,,
1-Oct-06,0,1,1,963,1061,24,893,19,956,30,,,,,,,,,,,,,,,,,,,,,
8-Oct-06,2,0,2,1184,1225,42,988,14,1055,44,,,,,,,,,,,,,,,,,,,,,
15-Oct-06,1,0,1,1329,1381,59,1134,17,1198,31,,,,,,,,,,,,,,,,,,,,,
22-Oct-06,4,0,4,1294,1353,65,1099,18,1194,46,,,,,,,,,,,,,,,,,,,,,
29-Oct-06,7,0,7,1446,1492,117,1216,27,1321,57,,,,,,,,,,,,,,,,,,,,,
5-Nov-06,12,0,12,1284,1389,187,1059,24,1153,45,,,,,,,,,,,,,,,,,,,,,
12-Nov-06,11,1,12,1519,1697,234,1293,18,1392,65,,,,,,,,,,,,,,,,,,,,,
19-Nov-06,29,0,29,1655,1849,321,1334,35,1478,88,,,,,,,,,,,,,,,,,,,,,
26-Nov-06,35,0,35,1956,2185,414,1612,39,1762,71,,,,,,,,,,,,,,,,,,,,,
3-Dec-06,91,2,93,2302,2589,619,1857,40,2069,95,,,,,,,,,,,,,,,,,,,,,
10-Dec-06,162,0,162,2441,2789,638,1955,35,2225,103,,,,,,,,,,,,,,,,,,,,,
17-Dec-06,167,3,170,2953,2992,739,2180,42,2486,92,,,,,,,,,,,,,,,,,,,,,
24-Dec-06,112,1,113,2629,2616,790,1882,45,2179,72,,,,,,,,,,,,,,,,,,,,,
31-Dec-06,130,0,130,3078,3140,788,2216,34,2506,67,,,,,,,,,,,,,,,,,,,,,
7-Jan-07,196,8,204,3160,3254,781,2241,29,2577,93,,,,,,,,,,,,,,,,,,,,,
14-Jan-07,191,5,196,2935,2949,584,2203,42,2496,71,,,,,,,,,,,,,,,,,,,,,
21-Jan-07,227,12,239,2889,2618,393,1985,33,2221,58,,,,,,,,,,,,,,,,,,,,,
28-Jan-07,368,17,385,3460,3141,504,2450,26,2429,64,,,,,,,,,,,,,,,,,,,,,
4-Feb-07,412,18,430,3346,2970,402,2328,40,2619,48,,,,,,,,,,,,,,,,,,,,,
11-Feb-07,595,20,615,3681,3212,340,2601,32,2881,54,,,,,,,,,,,,,,,,,,,,,
18-Feb-07,601,38,639,3639,2897,293,2234,35,2494,44,,,,,,,,,,,,,,,,,,,,,
25-Feb-07,803,45,848,4243,3133,275,2460,35,2756,103,,,,,,,,,,,,,,,,,,,,,
4-Mar-07,874,68,942,4418,3159,254,2502,52,2819,55,,,,,,,,,,,,,,,,,,,,,
11-Mar-07,633,59,692,3932,2764,202,2213,36,2480,44,,,,,,,,,,,,,,,,,,,,,
18-Mar-07,367,86,453,3252,2304,162,1821,46,2058,56,,,,,,,,,,,,,,,,,,,,,
25-Mar-07,288,91,379,2769,1848,118,1630,30,1596,67,,,,,,,,,,,,,,,,,,,,,
1-Apr-07,186,99,285,2643,1840,101,1525,34,1643,70,,,,,,,,,,,,,,,,,,,,,
8-Apr-07,88,103,191,2260,1531,81,1213,31,1351,69,,,,,,,,,,,,,,,,,,,,,
15-Apr-07,73,82,155,2143,1651,72,1326,39,1410,68,,,,,,,,,,,,,,,,,,,,,
22-Apr-07,41,78,119,2045,1551,56,1245,25,1345,47,,,,,,,,,,,,,,,,,,,,,
29-Apr-07,31,54,85,1716,1383,48,1114,24,1223,77,,,,,,,,,,,,,,,,,,,,,
6-May-07,11,45,56,1609,1407,27,1163,30,1256,58,,,,,,,,,,,,,,,,,,,,,
13-May-07,10,23,33,1222,1047,15,884,32,981,58,,,,,,,,,,,,,,,,,,,,,
20-May-07,7,16,23,1138,1003,14,799,33,898,61,,,,,,,,,,,,,,,,,,,,,
27-May-07,1,3,4,1158,1079,8,915,30,989,39,,,,,,,,,,,,,,,,,,,,,
3-Jun-07,2,7,9,885,812,13,684,25,744,47,,,,,,,,,,,,,,,,,,,,,
10-Jun-07,4,4,8,858,798,9,677,19,740,28,,,,,,,,,,,,,,,,,,,,,
17-Jun-07,3,3,6,815,752,3,629,19,702,19,,,,,,,,,,,,,,,,,,,,,
24-Jun-07,1,0,1,833,790,3,718,17,776,22,,,,,,,,,,,,,,,,,,,,,
1-Jul-07,0,0,0,654,623,1,567,17,607,13,,,,,,,,,,,,,,,,,,,,,
8-Jul-07,0,1,1,718,660,3,631,21,669,13,,,,,,,,,,,,,,,,,,,,,
15-Jul-07,3,0,3,627,586,4,562,12,589,21,,,,,,,,,,,,,,,,,,,,,
22-Jul-07,0,0,0,655,619,1,563,13,627,15,,,,,,,,,,,,,,,,,,,,,
29-Jul-07,0,0,0,518,477,1,486,7,466,21,,,,,,,,,,,,,,,,,,,,,
5-Aug-07,3,0,3,651,613,3,577,10,610,17,,,,,,,,,,,,,,,,,,,,,
12-Aug-07,0,0,0,697,648,0,592,16,630,16,,,,,,,,,,,,,,,,,,,,,
19-Aug-07,1,0,1,737,623,4,577,11,630,10,,,,,,,,,,,,,,,,,,,,,
26-Aug-07,2,0,2,722,663,2,630,7,700,21,,,,,,,,,,,,,,,,,,,,,
2-Sep-07,0,0,0,701,657,0,581,7,638,17,,,,,,,,,,,,,,,,,,,,,
9-Sep-07,0,0,0,810,760,3,757,15,731,13,,,,,,,,,,,,,,,,,,,,,
16-Sep-07,1,0,1,949,853,7,745,18,827,19,,,,,,,,,,,,,,,,,,,,,
23-Sep-07,1,0,1,1055,1041,3,945,15,1009,22,,,,,,,,,,,,,,,,,,,,,
30-Sep-07,2,0,2,1085,1075,18,944,20,1011,41,,,,,,,,,,,,,,,,,,,,,
7-Oct-07,0,1,1,1119,1111,9,983,26,1070,44,,,,,,,,,,,,,,,,,,,,,
14-Oct-07,9,1,10,1335,1263,16,1051,18,1135,48,,,,,,,,,,,,,,,,,,,,,
21-Oct-07,0,0,0,1270,1238,20,1046,22,1129,61,,,,,,,,,,,,,,,,,,,,,
28-Oct-07,2,0,2,1343,1269,38,1063,28,1164,82,,,,,,,,,,,,,,,,,,,,,
4-Nov-07,3,2,5,1490,1430,32,1233,34,1377,98,,,,,,,,,,,,,,,,,,,,,
11-Nov-07,1,2,3,1584,1433,61,1218,40,1430,82,,,,,,,,,,,,,,,,,,,,,
18-Nov-07,10,3,13,1752,1595,86,1364,43,1506,84,,,,,,,,,,,,,,,,,,,,,
25-Nov-07,8,2,10,1838,1668,110,1428,36,1625,110,,,,,,,,,,,,,,,,,,,,,
2-Dec-07,45,4,49,2238,1969,131,1664,33,2130,110,,,,,,,,,,,,,,,,,,,,,
9-Dec-07,47,20,67,2268,2077,185,1698,42,2091,120,,,,,,,,,,,,,,,,,,,,,
16-Dec-07,112,35,147,2515,2271,228,1816,45,2230,99,,,,,,,,,,,,,,,,,,,,,
23-Dec-07,86,21,107,1919,1865,321,1406,28,1678,69,,,,,,,,,,,,,,,,,,,,,
30-Dec-07,241,51,292,2770,2691,471,1966,40,2309,69,,,,,,,,,,,,,,,,,,,,,
6-Jan-08,205,62,267,3833,3452,454,2818,46,3370,119,,,,,,,,,,,,,,,,,,,,,
13-Jan-08,238,61,299,3801,3287,483,2657,61,3149,113,,,,,,,,,,,,,,,,,,,,,
20-Jan-08,245,106,351,3904,3483,418,2709,40,3273,84,,,,,,,,,,,,,,,,,,,,,
27-Jan-08,352,156,508,4195,3503,437,2767,55,3273,66,,,,,,,,,,,,,,,,,,,,,
3-Feb-08,316,171,487,4711,3893,617,2976,57,3638,44,,,,,,,,,,,,,,,,,,,,,
10-Feb-08,395,212,607,4634,3822,522,2990,54,3727,52,,,,,,,,,,,,,,,,,,,,,
17-Feb-08,478,281,759,4656,3803,501,2865,38,3471,32,,,,,,,,,,,,,,,,,,,,,
24-Feb-08,531,338,869,5151,4110,514,3175,40,3733,41,,,,,,,,,,,,,,,,,,,,,
2-Mar-08,539,341,880,5069,4063,476,3055,40,3561,39,,,,,,,,,,,,,,,,,,,,,
9-Mar-08,422,376,798,4985,4011,366,3086,37,3595,34,,,,,,,,,,,,,,,,,,,,,
16-Mar-08,510,381,891,4764,3716,331,2872,31,3387,43,,,,,,,,,,,,,,,,,,,,,
23-Mar-08,397,383,780,4826,3811,333,2977,53,3366,36,,,,,,,,,,,,,,,,,,,,,
30-Mar-08,437,445,882,4987,3966,284,3060,36,3536,39,,,,,,,,,,,,,,,,,,,,,
6-Apr-08,421,474,895,4940,3925,264,3070,58,3455,53,,,,,,,,,,,,,,,,,,,,,
13-Apr-08,354,418,772,4579,3678,258,2959,64,3341,52,,,,,,,,,,,,,,,,,,,,,
20-Apr-08,230,332,562,4209,3351,167,2754,34,3026,73,,,,,,,,,,,,,,,,,,,,,
27-Apr-08,170,229,399,3767,2897,169,2293,32,2610,69,,,,,,,,,,,,,,,,,,,,,
4-May-08,102,148,250,2741,2414,151,1924,34,2266,66,,,,,,,,,,,,,,,,,,,,,
11-May-08,57,58,115,2299,2052,139,1678,41,2094,76,,,,,,,,,,,,,,,,,,,,,
18-May-08,23,26,49,1928,1741,98,1410,26,1829,78,,,,,,,,,,,,,,,,,,,,,
25-May-08,21,30,51,1707,1569,85,1276,22,1578,90,,,,,,,,,,,,,,,,,,,,,
1-Jun-08,14,19,33,1613,1439,44,1222,30,1420,87,,,,,,,,,,,,,,,,,,,,,
8-Jun-08,8,4,12,1124,1064,35,845,24,1045,98,,,,,,,,,,,,,,,,,,,,,
15-Jun-08,5,3,8,1075,1024,33,1027,36,1108,90,,,,,,,,,,,,,,,,,,,,,
22-Jun-08,3,1,4,942,891,14,791,28,899,60,,,,,,,,,,,,,,,,,,,,,
29-Jun-08,4,0,4,768,790,28,682,20,754,67,,,,,,,,,,,,,,,,,,,,,
6-Jul-08,2,0,2,760,795,16,710,22,753,67,,,,,,,,,,,,,,,,,,,,,
13-Jul-08,1,1,2,763,785,33,703,12,774,60,,,,,,,,,,,,,,,,,,,,,
20-Jul-08,0,1,1,838,751,21,752,18,876,44,,,,,,,,,,,,,,,,,,,,,
27-Jul-08,0,0,0,698,730,16,667,18,707,38,,,,,,,,,,,,,,,,,,,,,
3-Aug-08,0,1,1,549,586,14,545,11,557,28,,,,,,,,,,,,,,,,,,,,,
10-Aug-08,3,1,4,698,659,11,629,17,640,29,,,,,,,,,,,,,,,,,,,,,
17-Aug-08,0,2,2,676,635,9,619,17,621,22,,,,,,,,,,,,,,,,,,,,,
24-Aug-08,1,1,2,606,647,10,597,4,627,19,,,,,,,,,,,,,,,,,,,,,
31-Aug-08,0,0,0,598,650,12,580,12,637,13,,,,,,,,,,,,,,,,,,,,,
7-Sep-08,0,1,1,808,781,11,695,18,841,7,,,,,,,,,,,,,,,,,,,,,
14-Sep-08,0,0,0,953,995,11,881,17,956,12,,,,,,,,,,,,,,,,,,,,,
21-Sep-08,2,2,4,945,1029,16,903,30,932,24,,,,,,,,,,,,,,,,,,,,,
28-Sep-08,1,1,2,1068,1170,19,990,13,1072,13,,,,,,,,,,,,,,,,,,,,,
5-Oct-08,0,0,0,1191,1301,13,1225,19,1174,16,,,,,,,,,,,,,,,,,,,,,
12-Oct-08,0,1,1,1137,1199,21,1037,34,1095,21,,,,,,,,,,,,,,,,,,,,,
19-Oct-08,3,0,3,1260,1320,34,1131,34,1205,21,,,,,,,,,,,,,,,,,,,,,
