"","year","illness","var","type","corr","p.val","lag"
"36","2011","Influenza","Positive test frequency","Spearman","0.801917432558359",NA,"0"
"37","2012","Influenza","Positive test frequency","Spearman","0.73808373143189",NA,"0"
"38","2013","Influenza","Positive test frequency","Spearman","0.807028828370523",NA,"0"
"39","2014","Influenza","Positive test frequency","Spearman","0.907511368165157",NA,"0"
"40","2015","Influenza","Positive test frequency","Spearman","0.990193386983404",NA,"0"
"41","2003","Influenza","Positive test percentage","Spearman","0.731868131868132",NA,"0"
"42","2004","Influenza","Positive test percentage","Spearman","0.765988404098512",NA,"0"
"43","2005","Influenza","Positive test percentage","Spearman","0.74749406749945",NA,"0"
"44","2006","Influenza","Positive test percentage","Spearman","0.698957061109692",NA,"0"
"45","2007","Influenza","Positive test percentage","Spearman","0.728283439244815",NA,"0"
"46","2008","Influenza","Positive test percentage","Spearman","0.708509473469875",NA,"0"
"47","2009","Influenza","Positive test percentage","Spearman","0.39631179031845",NA,"0"
"48","2010","Influenza","Positive test percentage","Spearman","0.608552792065093",NA,"0"
"49","2011","Influenza","Positive test percentage","Spearman","0.727497812378902",NA,"0"
"50","2012","Influenza","Positive test percentage","Spearman","0.698248231238289",NA,"0"
"51","2013","Influenza","Positive test percentage","Spearman","0.776316912831896",NA,"0"
"52","2014","Influenza","Positive test percentage","Spearman","0.866217023819687",NA,"0"
"53","2015","Influenza","Positive test percentage","Spearman","0.979472140762463",NA,"0"
"241","-1","Influenza","Total test frequency","Cross-correlation","0.832640729624187",NA,"-1"
"242","-1","Influenza","Positive test frequency","Cross-correlation","0.803936517598641",NA,"-1"
"243","-1","RSV","Total test frequency","Cross-correlation","0.82444277104227",NA,"-1"
"211","-1","RSV","Positive test frequency","Cross-correlation","0.66553087190573",NA,"-4"
"244","-1","Adenovirus","Total test frequency","Cross-correlation","0.822140840947349",NA,"-1"
"212","-1","Adenovirus","Positive test frequency","Cross-correlation","0.47123790429227",NA,"-4"
"245","-1","Parainfluenza","Total test frequency","Cross-correlation","0.82388794108815",NA,"-1"
"246","-1","Parainfluenza","Positive test frequency","Cross-correlation","0.417984704357468",NA,"-1"
"201","-1","Rhinovirus","Total test frequency","Cross-correlation","0.898485309427923",NA,"-1"
"341","-1","Rhinovirus","Positive test frequency","Cross-correlation","0.625746212874623",NA,"13"
"202","-1","hMPV","Total test frequency","Cross-correlation","0.924806517015468",NA,"-1"
"121","-1","hMPV","Positive test frequency","Cross-correlation","0.643930246967619",NA,"-9"
"203","-1","Coronavirus","Total test frequency","Cross-correlation","0.900329413634534",NA,"-1"
"181","-1","Coronavirus","Positive test frequency","Cross-correlation","0.857121319908726",NA,"-3"
"247","-1","Influenza","Total test frequency","Cross-correlation","0.832640729624187",NA,"-1"
"248","-1","Influenza","Positive test frequency","Cross-correlation","0.803936517598641",NA,"-1"
"249","-1","RSV","Total test frequency","Cross-correlation","0.82444277104227",NA,"-1"
"213","-1","RSV","Positive test frequency","Cross-correlation","0.66553087190573",NA,"-4"
"2410","-1","Adenovirus","Total test frequency","Cross-correlation","0.822140840947349",NA,"-1"
"214","-1","Adenovirus","Positive test frequency","Cross-correlation","0.47123790429227",NA,"-4"
"2411","-1","Parainfluenza","Total test frequency","Cross-correlation","0.82388794108815",NA,"-1"
"2412","-1","Parainfluenza","Positive test frequency","Cross-correlation","0.417984704357468",NA,"-1"
"204","-1","Rhinovirus","Total test frequency","Cross-correlation","0.898485309427923",NA,"-1"
"342","-1","Rhinovirus","Positive test frequency","Cross-correlation","0.625746212874623",NA,"13"
"205","-1","hMPV","Total test frequency","Cross-correlation","0.924806517015468",NA,"-1"
"122","-1","hMPV","Positive test frequency","Cross-correlation","0.643930246967619",NA,"-9"
"206","-1","Coronavirus","Total test frequency","Cross-correlation","0.900329413634534",NA,"-1"
"182","-1","Coronavirus","Positive test frequency","Cross-correlation","0.857121319908726",NA,"-3"
